Longitude,Latitude ,Depth
172.4621678,-43.62292425,
172.1669403,-43.59739446,
171.9942833,-43.25581078,
171.8904251,-43.56871415,
172.3500121,-43.58771418,
172.7157323,-43.57696731,
172.160644,-43.48181761,
,,
172.4804855,-43.61239143,
172.167207,-43.59730901,
171.8904251,-43.56871415,
171.9942833,-43.25581078,
172.7781122,-43.59519603,
172.3526335,-43.59117196,
172.160644,-43.48181761,
,,
172.2817898,-43.55240885,7.135676538
172.2328563,-43.57611814,4.978334623
172.487896,-43.62226929,20.03644762
172.3010479,-43.58991473,12.02286098
172.2573838,-43.55049727,9.021523776
172.7261174,-43.65643739,26.63370435
172.3545352,-43.59318141,15.68376197
,,
172.4191423,-43.59856547,
171.9038709,-43.54281843,
172.1862339,-43.55697431,
,,
172.4853922,-43.61583115,19.7904531
172.2372218,-43.5745023,5.129109217
172.2756285,-43.56574045,10.18880942
,,
172.2756285,-43.56574045,10.18880942
172.2372218,-43.5745023,5.129109217
172.4853922,-43.61583115,19.7904531
172.2372218,-43.5745023,5.129109217
172.4853922,-43.61583115,19.7904531
172.2756285,-43.56574045,10.18880942
,,
172.2372218,-43.5745023,5.129109217
172.4853922,-43.61583115,19.7904531
172.2756285,-43.56574045,10.18880942
,,
172.2756285,-43.56574045,10.18880942
172.4853922,-43.61583115,19.7904531
172.2372218,-43.5745023,5.129109217
,,
172.2372218,-43.5745023,5.129109217
172.4853922,-43.61583115,19.7904531
172.2756285,-43.56574045,10.18880942
,,
172.2756285,-43.56574045,10.18880942
172.4853922,-43.61583115,19.7904531
172.2372218,-43.5745023,5.129109217
172.23722178187404097116,-43.57450229646697437147,5.12910921658982488225
172.48539221238937102498,-43.61583115044247449532,19.79045309734513224953
172.27562848167539755195,-43.56574045375218418030,10.18880942408376455433

